Date,Year,Month,CSENT,IPM,HOUSE,UNEMP,LRIR,SP500,SP500_Price,SP500_Rise
2004-02-29,2004,2,18.1476846057572,2.45180220223713,23.82478632478633,5.6,2.3015468409586193,36.11602070674667,1144.93994140625,1.0
2004-03-31,2004,3,23.453608247422686,2.2884823186991365,27.727727727727736,5.8,2.1199238716693967,32.77959521122498,1126.2099609375,1.0
2004-04-30,2004,4,9.534883720930232,3.374382560953948,17.193675889328052,5.6,2.2374235807860128,20.762996713599048,1107.300048828125,1.0
2004-05-31,2004,5,-2.062975027144398,4.052726451380884,15.120593692022254,5.6,1.7622416621104557,16.302579154758213,1120.6800537109375,1.0
2004-06-30,2004,6,6.577480490523957,2.7889920272416324,-1.0896898575020963,5.6,1.4523320589841608,17.069262782997697,1140.8399658203125,1.0
2004-07-31,2004,7,6.380638063806376,3.2878007946904653,-6.849315068493156,5.5,1.560424605334772,11.250009938220318,1101.719970703125,1.0
2004-08-31,2004,8,7.3908174692049355,4.169536180982947,-2.570480928689889,5.4,1.5825745257452724,9.546530246373708,1104.239990234375,1.0
2004-09-30,2004,9,7.411630558722915,3.330102779213995,7.338638373121142,5.4,1.600831982712048,11.908992122305385,1114.5799560546875,1.0
2004-10-31,2004,10,2.34375,4.325722845081925,14.073426573426584,5.5,0.8590859924283452,7.565359917540881,1130.199951171875,1.0
2004-11-30,2004,11,-0.9605122732123883,3.3554344846491224,7.868252516010976,5.4,0.7383783783783935,10.926100968833662,1173.8199462890625,1.0
2004-12-31,2004,12,4.859611231101502,4.288860429850572,10.008857395925608,5.4,0.8976819407008128,8.993452410946755,1211.9200439453125,1.0
2005-01-31,2005,1,-7.996146435452789,5.033102497085484,3.2618025751072866,5.3,1.2951261406333963,4.432736682078575,1181.27001953125,1.0
2005-02-28,2005,2,-0.31779661016950733,5.209348080909382,13.80500431406384,5.4,1.3069737546866609,5.123415828051159,1203.5999755859375,1.0
2005-03-31,2005,3,-3.3402922755741193,4.737386333504068,4.0752351097178785,5.2,1.2931587386424264,4.828584968076877,1180.5899658203125,1.0
2005-04-30,2005,4,-6.900212314225051,4.819774544381605,6.2394603709949426,5.2,0.8482070437566742,4.474841919338135,1156.8499755859375,1.0
2005-05-31,2005,5,-3.658536585365846,4.349677025047671,3.6261079774375427,5.1,1.1307120085015852,6.319372425212211,1191.5,1.0
2005-06-30,2005,6,0.4184100418409997,5.424299664790455,7.966101694915251,5.0,1.398973001588145,4.425685612974695,1191.3299560546875,1.0
2005-07-31,2005,7,-0.20682523267838704,4.128100469635765,27.665441176470583,5.0,1.2128397673188793,12.02302640690771,1234.1800537109375,1.0
2005-08-31,2005,8,-7.090719499478637,4.229687650611247,6.808510638297882,4.9,0.3730655391120479,10.513110089019007,1220.3299560546875,1.0
2005-09-30,2005,9,-18.365180467091292,2.9325034308845366,2.471169686985175,5.0,-0.4018335089568055,10.248713151401567,1228.81005859375,1.0
2005-10-31,2005,10,-19.083969465648853,3.4052674324167587,2.3754789272030674,5.0,0.2198951781970644,6.7961477536879755,1207.010009765625,1.0
2005-11-30,2005,11,-12.06896551724138,4.382609632582701,2.968617472434265,5.0,1.151450182576947,6.445625193103988,1249.47998046875,1.0
2005-12-31,2005,12,-5.767250257466527,3.6584852050332017,-0.24154589371980784,4.9,1.0514501825769464,3.0010226581274946,1248.2900390625,1.0
2006-01-31,2006,1,-4.502617801047116,3.8110515696349268,-2.4106400665004135,4.7,0.5112108559498836,8.364720587986074,1280.0799560546875,1.0
