Date,SP500,SPINFO,NASCOMP,NAS100,DJIA,RUS2000,SPINFO/SP500,NSA100/NASCOMP,NSA100/SP500,NSA100/DJIA,NSA100/RUS2000,NAS100/NASCOMP,NAS100/SP500,NAS100/DJIA,NAS100/RUS2000
2007-06-26,1492.8900146484375,384.7900085449219,2574.159912109375,1908.6400146484375,13337.66015625,826.1300048828125,0.2577483972491681,0.7414613232339624,1.2784866908617547,0.1431015629644794,2.310338570645646,0.7414613232339624,1.2784866908617547,0.1431015629644794,2.310338570645646
2007-06-27,1506.3399658203125,389.42999267578125,2605.35009765625,1933.06005859375,13427.73046875,838.4600219726562,0.25852729231923954,0.7419578890118121,1.2832827266460112,0.1439602964248135,2.305488643389119,0.7419578890118121,1.2832827266460112,0.1439602964248135,2.305488643389119
2007-06-28,1505.7099609375,389.510009765625,2608.3701171875,1931.6700439453125,13422.2802734375,839.0399780273438,0.2586886052896299,0.7405659308917992,1.282896503349554,0.14391519209802672,2.3022383849775996,0.7405659308917992,1.282896503349554,0.14391519209802672,2.3022383849775996
2007-06-29,1503.3499755859375,388.2099914550781,2603.22998046875,1934.0999755859375,13408.6201171875,833.7000122070312,0.25822995161440804,0.7429616246343607,1.286526761562698,0.14424302863996874,2.3198991810805514,0.7429616246343607,1.286526761562698,0.14424302863996874,2.3198991810805514
2007-07-02,1519.4300537109375,391.3999938964844,2632.300048828125,1954.1199951171875,13535.4296875,845.0599975585938,0.25759658560166,0.7423621771336985,1.286087497311638,0.14437073962430774,2.3124038538833984,0.7423621771336985,1.286087497311638,0.14437073962430774,2.3124038538833984
2007-07-03,1524.8699951171875,394.2799987792969,2644.949951171875,1965.199951171875,13577.2998046875,848.2000122070312,0.2585663040402314,0.7430008081253753,1.2887655717960715,0.14474158922920732,2.316906299091402,0.7430008081253753,1.2887655717960715,0.14474158922920732,2.316906299091402
2007-07-05,1525.4000244140625,397.04998779296875,2656.64990234375,1981.06005859375,13565.83984375,850.1300048828125,0.2602923701574502,0.7456985795704654,1.29871510874973,0.14603298294918735,2.330302479874043,0.7456985795704654,1.29871510874973,0.14603298294918735,2.330302479874043
2007-07-06,1530.43994140625,398.4599914550781,2666.510009765625,1988.31005859375,13611.6796875,852.3099975585938,0.26035650316924674,0.7456600767714778,1.2991754885636246,0.14607382073644246,2.3328484521936628,0.7456600767714778,1.2991754885636246,0.14607382073644246,2.3328484521936628
2007-07-09,1531.8499755859375,398.3500061035156,2670.02001953125,1989.199951171875,13649.9697265625,853.239990234375,0.2600450517036732,0.7450131222316078,1.2985605528446085,0.14572925735512376,2.3313487107249453,0.7450131222316078,1.2985605528446085,0.14572925735512376,2.3313487107249453
2007-07-10,1510.1199951171875,395.57000732421875,2639.159912109375,1971.8900146484375,13501.7001953125,837.47998046875,0.26194607620801813,0.7471657952974834,1.3057836602550354,0.14604753372712537,2.3545518228922218,0.7471657952974834,1.3057836602550354,0.14604753372712537,2.3545518228922218
2007-07-11,1518.760009765625,397.5299987792969,2651.7900390625,1984.0799560546875,13577.8701171875,839.969970703125,0.26174642222811995,0.7482040157131478,1.306381484432732,0.14612600790334168,2.3620843902239113,0.7482040157131478,1.306381484432732,0.14612600790334168,2.3620843902239113
2007-07-12,1547.699951171875,406.32000732421875,2701.72998046875,2021.030029296875,13861.73046875,855.1799926757812,0.2625315113672806,0.7480503395628849,1.3058280629695749,0.14579925889145673,2.363280299593135,0.7480503395628849,1.3058280629695749,0.14579925889145673,2.363280299593135
2007-07-13,1552.5,406.1000061035156,2707.0,2032.1600341796875,13907.25,855.77001953125,0.26157810377038043,0.7507055907571805,1.3089597643669484,0.14612234871593505,2.3746567276250317,0.7507055907571805,1.3089597643669484,0.14612234871593505,2.3746567276250317
2007-07-16,1549.52001953125,406.8299865722656,2697.330078125,2028.02001953125,13950.98046875,848.469970703125,0.2625522622775387,0.7518620119866796,1.308805303557648,0.14536756209171006,2.3902083627669635,0.7518620119866796,1.308805303557648,0.14536756209171006,2.3902083627669635
2007-07-17,1549.3699951171875,409.6700134277344,2712.2900390625,2041.780029296875,13971.5498046875,849.8900146484375,0.2644107054601562,0.7527882342563238,1.3178130696550916,0.14613840682240214,2.402405010184136,0.7527882342563238,1.3178130696550916,0.14613840682240214,2.402405010184136
2007-07-18,1546.1700439453125,406.6199951171875,2699.489990234375,2037.97998046875,13918.2197265625,845.9099731445312,0.2629853014611694,0.7549500045717186,1.3180826963045422,0.1464253345978816,2.409216163858306,0.7549500045717186,1.3180826963045422,0.1464253345978816,2.409216163858306
2007-07-19,1553.0799560546875,411.8500061035156,2720.0400390625,2052.989990234375,14000.41015625,851.8499755859375,0.26518274509816253,0.7547646213847524,1.3218829991532546,0.1466378461289499,2.4100370359490166,0.7547646213847524,1.3218829991532546,0.1466378461289499,2.4100370359490166
2007-07-20,1534.0999755859375,407.6000061035156,2687.60009765625,2035.8800048828125,13851.080078125,836.4400024414062,0.26569324854322873,0.7575085321131753,1.327084308247397,0.14698348384383947,2.4339821134097765,0.7575085321131753,1.327084308247397,0.14698348384383947,2.4339821134097765
2007-07-23,1541.5699462890625,408.8699951171875,2690.580078125,2036.3299560546875,13943.419921875,835.6199951171875,0.2652296096595798,0.7568367775449213,1.3209455470746778,0.14604236030071868,2.4369090830205806,0.7568367775449213,1.3209455470746778,0.14604236030071868,2.4369090830205806
2007-07-24,1511.0400390625,402.739990234375,2639.860107421875,2000.550048828125,13716.9501953125,811.8599853515625,0.26653164696036014,0.7578242662191258,1.3239556842380784,0.1458451055331362,2.464156486246603,0.7578242662191258,1.3239556842380784,0.1458451055331362,2.464156486246603
2007-07-25,1518.0899658203125,403.0299987792969,2648.169921875,2011.1400146484375,13785.0703125,812.5,0.2654849237222356,0.7594452297171617,1.3247831551022085,0.14589261926540772,2.475249248798077,0.7594452297171617,1.3247831551022085,0.14589261926540772,2.475249248798077
2007-07-26,1482.6600341796875,397.6199951171875,2599.340087890625,1986.5999755859375,13473.5703125,791.47998046875,0.2681801532049652,0.7642708950786319,1.3398890708516773,0.14744421333838179,2.509981331946493,0.7642708950786319,1.3398890708516773,0.14744421333838179,2.509981331946493
2007-07-27,1458.949951171875,390.9599914550781,2562.239990234375,1956.18994140625,13265.4697265625,777.8300170898438,0.2679735457279029,0.7634686636934864,1.3408204577785385,0.14746480763430608,2.5149324382274374,0.7634686636934864,1.3408204577785385,0.14746480763430608,2.5149324382274374
2007-07-30,1473.9100341796875,393.3399963378906,2583.280029296875,1973.9300537109375,13358.3095703125,784.22998046875,0.2668683889901096,0.764117722943187,1.3392473135645209,0.14776795247340266,2.5170295740684128,0.764117722943187,1.3392473135645209,0.14776795247340266,2.5170295740684128
2007-07-31,1455.27001953125,386.44000244140625,2546.27001953125,1932.06005859375,13211.990234375,776.1199951171875,0.26554522339839076,0.7587805078698717,1.3276299467888966,0.14623535321475714,2.4893831762471543,0.7587805078698717,1.3276299467888966,0.14623535321475714,2.4893831762471543
