Date,SP500,SPINFO,NASCOMP,NAS100,DJIA,RUS2000,SPINFO/SP500,SPINFO/DJIA,SPINFO/RUS2000,NAS100/NASCOMP,NAS100/SP500,NAS100/DJIA,NAS100/RUS2000
1995-01-03,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1995-01-04,100.34850169993372,100.3331935365184,100.30393632341949,100.41457133077496,100.49941440290276,100.16582607758097,0.999847450005172,0.9983460513937128,1.0016709037951506,1.0011029976630104,1.000658401767062,0.999155785407986,1.0024833345157191
1995-01-05,100.26791205279193,100.13125595882639,100.27972188693664,100.0050223652442,100.32408509278537,100.08898285706809,0.9986370904592728,0.9980779377775473,1.0004223551938645,0.9972606672962041,0.9973781274371275,0.996819679668685,0.9991611415220016
1995-01-06,100.34196758387132,101.19143401949842,100.82169843340805,100.90200913012328,100.75368197275559,100.33974936063244,1.0084657143574254,1.004344774683879,1.0084880086335968,1.0007965616326953,1.0055813291261588,1.0014721760481944,1.0056035596368695
1995-01-09,100.37463816418327,101.9083189684659,101.14446455929931,101.38944692947159,100.59581181363116,100.45704157859466,1.0152795649611608,1.0130473339910648,1.0144467462615432,1.0024221035846075,1.0101102109442068,1.0078893455058622,1.0092816325886667
1995-01-10,100.55978031544026,104.10944087642433,101.7402299878969,102.40452445332129,100.73622918210904,100.70376565107426,1.0352990087075502,1.0334855862851215,1.0338187475247975,1.0065293194786704,1.018344751073385,1.0165610256087343,1.0168887309352457
1995-01-11,100.55542645377102,103.81663023321312,101.63532812408297,102.28643369435066,100.61352537848197,100.37210732426178,1.0324319024288697,1.0318357282749204,1.0343175310429966,1.006406291810981,1.0172144587480363,1.0166270718531694,1.0190722942969053
1995-01-12,100.55107259210179,104.63448011916728,101.73888382939411,102.34171038296952,100.53458711874651,100.41659875279582,1.0406102831307464,1.0407809204565408,1.0420038262474411,1.0059252326238048,1.0178082415702485,1.0179751398599621,1.0191712491170202
1995-01-13,101.49419879506381,105.2705915778017,102.49871642965931,103.13568115234375,101.8231169844529,101.0960974740607,1.0372079668352587,1.0338574843851538,1.0412923367770164,1.0062143677976843,1.0161731643460175,1.0128906304065635,1.020174702379648
1995-01-16,102.23694100736793,106.31057819182013,103.30562353610392,103.93215927047346,102.44524155132922,101.81200276169018,1.0398450613282593,1.0377307582271083,1.0441851187296618,1.0060648753951964,1.0165812694159477,1.0145142682727655,1.0208242294746515
1995-01-17,102.38287181513357,106.50242389804467,103.84087749834501,104.74623483629082,102.40146964709109,102.29735987282945,1.0402367311042957,1.0400478065899523,1.0411062810461846,1.0087186988376542,1.0230835781342864,1.0228977689214869,1.0239387894908107
1995-01-18,102.30881628405417,106.9971644152292,103.87315246927741,105.34171099638819,102.35770410319942,102.05063580034984,1.0458254557276678,1.0453259513065294,1.048471315990198,1.0141379990132207,1.0296445098525366,1.0291527337324822,1.032249433530987
1995-01-19,101.7076576649635,106.58318968465905,103.35807446801088,104.9824086864989,101.13925253462985,101.52482969176124,1.0479367250375198,1.0538261556576682,1.0498238707541343,1.015715600613194,1.0321976839966445,1.0379986608122613,1.0340564865288147
1995-01-20,101.23500111272739,104.41236650225905,102.48392510269588,103.04773992030465,100.80630747924589,100.97071422227854,1.0313860360014575,1.0357721566555305,1.0340856485614631,1.0055014951568628,1.017906245741616,1.0222350416070962,1.0205705754784868
1995-01-23,101.46152821475187,104.26090368934169,102.14233738261642,103.48995342925565,100.75368197275559,100.33570692954771,1.0275905116337762,1.0348098615148822,1.0391206369089532,1.013193510949247,1.0199920625107326,1.0271580293933076,1.031436929047829
1995-01-24,101.47023593809035,104.72536088840516,102.63858558141119,103.91959952349639,100.63097816912847,100.68758975508483,1.0320796036416122,1.0406871004711427,1.0401019742665598,1.0124808222446626,1.0241387394319301,1.0326800098160707,1.0320993855973033
1995-01-25,101.81438377635482,102.74636030107365,102.34002568371925,103.23366711487122,100.85893298573616,100.63096486164609,1.009153682320231,1.0187135364162976,1.021021317268854,1.0087320813648588,1.0139399099211168,1.0235451046212327,1.0258638308477266
1995-01-26,102.00606004367421,101.70637368705522,101.8800909313652,102.1356783919598,100.83262023249102,100.33974936063244,0.9970620730132045,1.0086653847985858,1.0136199695049166,1.0025087086030064,1.0012706926258115,1.0129229822299997,1.017898480340753
1995-01-27,102.45693399333003,102.17083858983737,102.06164174700183,102.31658322128219,100.50827436550138,100.49749057604396,0.9972076521096046,1.0165415657052277,1.016650644749455,1.002497916650335,0.9986301486236454,1.0179916416553412,1.0181008762986152
1995-01-30,102.04744499444168,100.48464864571707,101.10949727136133,100.9321586570548,99.83326987827697,99.72496039497575,0.9846855906210124,1.0065246662583958,1.0076178345695246,0.9982460736222376,0.9890709038580278,1.0110072401727166,1.0121052769266365
1995-01-31,102.4634681093924,100.87842422591493,101.56270943948505,101.84170516891096,100.14016295462007,99.84225878458848,0.9845306438214131,1.0073722795081672,1.010378024835776,1.0027470292094969,0.9939318573540998,1.0169916062056137,1.0200260531829146
1995-02-01,102.4591076006061,102.10016467469045,101.98095431967079,102.27638129612909,100.23655400500202,100.10515875305752,0.9964967201616196,1.0185921262775597,1.0199291020211483,1.0028968838194263,0.9982165928558612,1.0203501338546144,1.0216894171101372
1995-02-02,102.97968321967205,103.04926281575231,102.69775909754848,103.30401856695588,100.84121942088538,100.55815790056744,1.0006756633338232,1.0218962385376473,1.0247727779346167,1.0059033368861683,1.0031495081082349,1.0244225442751878,1.0273061949792632
