topic1 topic2 topic3 topic4 topic5 topic6 topic7 topic8 topic9 topic10 topic11 topic12 topic13 topic14 topic15 topic16 topic17 topic18 topic19 topic20
0.31583193113884384 9.88142311444066e-05 9.881423119702693e-05 9.881423166400442e-05 9.881423066400766e-05 9.88142324700373e-05 9.881423063436457e-05 0.12938733803293395 9.881423078955582e-05 9.881423227347555e-05 9.881423054715181e-05 9.881423089572434e-05 9.881423173058312e-05 9.881423054309982e-05 9.881423176586165e-05 9.881423156122993e-05 9.881423173789121e-05 9.881423067430735e-05 0.5531008888961264 9.881423180307598e-05
0.04362758628453838 1.9164431288259675e-05 1.9164431251576917e-05 1.916443125585863e-05 1.9164431233303167e-05 1.916443133815119e-05 1.916443113445459e-05 0.08189593110086844 0.07264885527475923 0.015161956805990893 1.9164431323468774e-05 1.916443126373707e-05 1.916443135756772e-05 0.6568333545537665 0.09761470016973992 0.0319684782039914 1.916443126044616e-05 1.9164431251273354e-05 1.916443120055471e-05 1.916443118653717e-05
0.05914775163210325 3.734130043468726e-05 0.09200359774755822 3.734130011204617e-05 3.734130017159005e-05 3.734130017763038e-05 3.734130027427777e-05 3.734130047064417e-05 0.06882614127989091 3.734130032499578e-05 0.025168415539024484 3.734130018747692e-05 3.734130022883962e-05 3.734130040281452e-05 0.08566992202683654 3.734130023521091e-05 3.734130054172457e-05 0.6160886495777503 3.734130013944979e-05 0.05261008529313487
4.1493776936193844e-05 0.051315165904438576 4.1493777113116435e-05 0.0041776727506246175 4.149377706998667e-05 4.1493776840680444e-05 0.0416230361418152 4.1493777098671853e-05 0.07738242260381778 0.16253290116461933 0.023855752589214508 4.1493777233954616e-05 0.011547010104336163 0.028750699046705613 4.149377682819645e-05 0.008049888094419175 4.1493777313009285e-05 0.570145382895964 0.020246624710915227 4.149377669610203e-05
0.00011709602054944988 0.017573908412178648 0.5886512915418542 0.00011709602163445046 0.00011709602019910991 0.00011709602196436012 0.015627478164568474 0.00011709602368641388 0.00011709602048636608 0.00011709602069810537 0.0001170960209743101 0.00011709602074261623 0.37627378554094176 0.00011709602058436421 0.00011709602147526695 0.00011709602067582929 0.00011709602174811438 0.0001170960205285385 0.0001170960226001871 0.00011709602190921834
0.0005494505574016956 0.0005494505567701662 0.0005494505656249832 0.0005494505562526427 0.000549450559621759 0.0005494505560754731 0.32972278356546075 0.0005494505553629238 0.0005494505600747133 0.0005494505614169637 0.0005494505608775185 0.0005494505565551717 0.02454702468302268 0.1620595941363035 0.0005494505605952384 0.0005494505606434344 0.0005494505551034262 0.41320970103881866 0.0005494505551768624 0.06221913819884146
0.0001428571457123294 0.27169446066235053 0.17166486024588662 0.00014285714586441633 0.012349429289553331 0.00014285714626018322 0.00014285714620227102 0.00014285714530097308 0.0001428571451199143 0.00014285714531483867 0.0001428571456281529 0.00014285714557966706 0.4024116380430784 0.00014285714577165314 0.09393093172107507 0.00014285714564657778 0.00014285714656031375 0.0001428571453363372 0.00014285714553027173 0.04594867999822805
0.10637139638485299 3.001200549128341e-05 3.0012005517443324e-05 3.001200546543176e-05 0.044944027944977254 3.0012005490751537e-05 3.0012005625410026e-05 3.0012005395371158e-05 0.15006885796368286 0.6679902831867351 3.0012005406906053e-05 3.001200545784665e-05 3.0012005355505173e-05 3.001200547781699e-05 0.030175254437865312 3.0012005595033964e-05 3.0012005417420385e-05 3.0012005654640334e-05 3.0012005274164914e-05 3.0012005261662433e-05
5.643340951877986e-05 5.64334094395561e-05 5.643340992438961e-05 5.643341007945888e-05 5.643340962850181e-05 5.643341027694881e-05 0.10158383510846723 5.64334097462139e-05 0.18688384282397014 0.042178229112591004 5.643340941670016e-05 0.009862408739824816 5.6433409360270264e-05 5.6433409901481904e-05 0.08655334185169919 5.6433409440090624e-05 0.02001406169491551 0.4875033592630779 0.06474372048910651 5.643340961528417e-05
0.001647639723080705 0.00011520737506312609 0.00011520737663166669 0.00011520737512475707 0.04536534614336261 0.00011520737488317848 0.03616789596315852 0.00011520737608173022 0.39943933422400485 0.08293828631619915 0.00011520737555266062 0.00011520737466224582 0.00011520737496421214 0.09374150846843851 0.30204580031684586 0.00011520737514786172 0.0001152073746082515 0.03727170034145381 0.00011520737541617777 0.00011520737532015286
0.02273726973072622 7.668711835073513e-05 0.26002533456038557 0.25835338021912957 7.668711824263223e-05 0.05050879360405366 7.668711754258e-05 7.66871179670799e-05 7.668711845295989e-05 7.668711886015236e-05 7.668711777058192e-05 7.668711793466534e-05 0.07521524802680171 7.668711775524751e-05 0.09621433144905288 0.10331155858706835 7.668711815840567e-05 7.668711808847336e-05 0.13271383840540665 7.6687118251651e-05
4.830917992550041e-05 4.830917981259691e-05 0.6902316433775958 0.0576156843892255 4.830918017715012e-05 4.830917986277539e-05 4.830917973058623e-05 4.830917985996305e-05 4.830917986748656e-05 4.830917998437053e-05 4.8309179910143404e-05 0.053044783721471415 4.830917985153553e-05 4.830917964373372e-05 0.060800813918731954 0.07125215262061632 4.830917979654919e-05 0.007056988043481067 0.059369914590597636 4.8309179857975994e-05
6.501950691026269e-05 6.501950740116053e-05 6.501950744687073e-05 0.08624146625274111 6.50195073021707e-05 0.04008329128513567 0.22403646059423402 6.501950702927677e-05 0.09970687344881429 6.501950767966713e-05 6.501950698702785e-05 6.501950710329529e-05 0.00979492660490673 6.501950735571107e-05 0.18339045386339772 6.50195070859059e-05 0.041891458877844415 0.1171526765598514 6.501950748601715e-05 0.19698717793328724
0.10029391704112053 0.00015384615671264047 0.00015384615806178997 0.00015384615674049313 0.0001538461578683238 0.00015384615621512386 0.0001538461554859706 0.00015384615634272549 0.6030389337700911 0.294051764519412 0.00015384615668189724 0.0001538461578469293 0.00015384615698523657 0.00015384615639346355 0.0001538461572051104 0.00015384615767842012 0.000153846157173172 0.00015384615638733252 0.0001538461559752821 0.00015384615962215685
